mean1,mean2,mean3,mean4,mean5,mean6,mean7,mean8,var1,var2,var3,var4,var5,var6,var7,var8,std1,std2,std3,std4,std5,std6,std7,std8,max1,max2,max3,max4,max5,max6,max7,max8,target
1.775153748179656e-05,2.8029329182661665e-05,3.313513370788387e-05,2.356444042464991e-05,1.903897430205762e-05,1.5715328454086545e-05,1.60060447581513e-05,1.6676309399247333e-05,1.0192898325371182e-10,2.6069917541785777e-10,3.115091327493336e-10,1.8769847426282606e-10,1.210054490189603e-10,8.912149460415523e-11,8.135806255161432e-11,8.957715147871093e-11,1.0095988473334933e-05,1.6146181450047493e-05,1.7649621320281452e-05,1.3700309276174245e-05,1.100024767989159e-05,9.440418137146004e-06,9.019870428759734e-06,9.464520668196088e-06,3.576158940397282e-05,5.643803216650786e-05,6.493850520340496e-05,4.6986754966886533e-05,3.746452223273339e-05,3.2171239356669184e-05,3.116367076631919e-05,3.286660359507974e-05,1
1.999094595821551e-05,3.803558998629519e-05,5.501152922153311e-05,2.4788892747975867e-05,1.809497988871453e-05,2.0836430610660083e-05,1.73594191578195e-05,1.7783215326947335e-05,1.19965110913396e-10,4.886690227589759e-10,1.1217108435479791e-09,2.2046737758052478e-10,1.083118732287595e-10,1.1408287426636045e-10,1.0934134664305952e-10,1.0508739836516394e-10,1.0952858572692154e-05,2.2105859466643135e-05,3.3491951922036126e-05,1.4848143910284706e-05,1.0407299036193757e-05,1.068095849005886e-05,1.0456641269693606e-05,1.02512144824486e-05,4.0966386554622655e-05,7.806122448979737e-05,0.00011114045618247466,5.088835534213758e-05,3.740096038415468e-05,4.030012004802021e-05,3.554621848739577e-05,3.478991596638713e-05,1
2.0717250873748196e-05,2.5469428653476727e-05,3.005629081204339e-05,2.328844270650889e-05,1.965385151675827e-05,1.642570070459206e-05,1.4782821520416717e-05,1.512797709293417e-05,1.220168167009256e-10,1.972401527572118e-10,3.0313200865072095e-10,2.043061169743133e-10,1.234041771547045e-10,7.757977996569724e-11,7.330133499954374e-11,7.518380550375216e-11,1.104612224723797e-05,1.4044221329686164e-05,1.7410686622035356e-05,1.4293569077536698e-05,1.110874327521815e-05,8.807938462869575e-06,8.561619881748064e-06,8.670859559683352e-06,3.903259182617741e-05,4.910501810657071e-05,5.959648215209598e-05,4.7739265390585116e-05,3.8272115882049164e-05,3.268494568029008e-05,2.846352819451665e-05,3.0543197102949226e-05,1
1.5415001699558836e-05,3.41430151268561e-05,5.189658224219586e-05,3.066589416369974e-05,1.8391442056011934e-05,1.6123940908613875e-05,1.4522286932507892e-05,1.794481446614297e-05,9.384840945279029e-11,4.367761253113429e-10,8.012676854527323e-10,3.197438964035959e-10,1.3150030686222564e-10,1.0325192461954232e-10,6.461791174803337e-11,8.678980542679154e-11,9.687538874904725e-06,2.089918958503757e-05,2.8306672101339152e-05,1.7881384074047397e-05,1.1467358321000772e-05,1.0161295420345889e-05,8.038526715016463e-06,9.31610462729952e-06,3.548185231539447e-05,7.103879849812224e-05,0.00010505632040050001,6.617647058823563e-05,3.9499374217772474e-05,3.328535669587005e-05,2.6414267834793662e-05,3.1483103879850024e-05,1
1.6652607580507406e-05,2.500074488261737e-05,3.492305303603573e-05,2.7558573520307593e-05,4.3740195163176863e-05,2.3102886174467795e-05,1.8506374740814465e-05,1.8689155963483194e-05,9.199045491006966e-11,2.2039185462785673e-10,3.806113081345466e-10,2.536693845005517e-10,6.33764226051765e-10,2.0382221575371526e-10,1.2991088091134248e-10,1.2497481471458092e-10,9.591165461510382e-06,1.4845600514221604e-05,1.9509262111483013e-05,1.592700174234158e-05,2.517467429882192e-05,1.4276631807037515e-05,1.1397845450406076e-05,1.1179213510555245e-05,3.404388714733583e-05,4.993730407523572e-05,6.951724137931124e-05,5.443260188087839e-05,8.467711598746174e-05,4.78871473354238e-05,3.8445141065831246e-05,3.750470219435784e-05,1
1.9603073428548007e-05,2.6161049178663833e-05,3.708988953676523e-05,3.544304449618993e-05,0.00010226799738593632,5.3154413770787415e-05,2.185213027174862e-05,1.8002337429969167e-05,1.1948036468206009e-10,2.476894024212528e-10,4.50343495809145e-10,4.1053188822444515e-10,2.7851744984191726e-09,8.727413767903942e-10,1.592440466553431e-10,1.0745277359092746e-10,1.0930707419104222e-05,1.573815117544792e-05,2.1221298165030926e-05,2.0261586517951775e-05,5.2774752471415465e-05,2.9542196546472205e-05,1.261919358181588e-05,1.0365942966798895e-05,3.8040302267002736e-05,5.354659949622177e-05,7.186397984886711e-05,7.051889168765753e-05,0.00018909823677581855,9.828211586901785e-05,4.1848866498741096e-05,3.557682619647359e-05,1
1.706971611899949e-05,2.6095579903491597e-05,6.361923059564886e-05,5.4012365329704006e-05,2.239370477987323e-05,3.3131623337226946e-05,1.8545023169848245e-05,1.6257991469909354e-05,1.0331340709964894e-10,2.544340995362616e-10,1.4265872375395085e-09,9.878020104389983e-10,1.8779123288924477e-10,3.312680708582961e-10,1.1362455906853001e-10,9.741961012505397e-11,1.0164320296982426e-05,1.5950990550315727e-05,3.777018980015203e-05,3.1429317689682646e-05,1.3703694132942576e-05,1.8200771161088097e-05,1.0659482120090545e-05,9.870137290081327e-06,3.5481563015959566e-05,5.291689598238729e-05,0.00012397908640616255,0.00010745184369840319,4.644468904787984e-05,5.8101265822783434e-05,3.6009906439184413e-05,3.303797468354343e-05,1
1.9445305194221547e-05,3.052993878637246e-05,6.427058615578658e-05,7.424126799798169e-05,0.00010463909239120355,5.156100181399359e-05,2.019512522674906e-05,1.740191155573843e-05,1.0660508770297472e-10,2.905747847341138e-10,8.675871211516286e-10,1.2824783138716617e-09,3.802907379105724e-09,7.707097582869119e-10,1.267857023072134e-10,1.014397027849729e-10,1.032497398074081e-05,1.704625427283407e-05,2.9454831881231787e-05,3.581170638033968e-05,6.166771747929159e-05,2.7761659861883475e-05,1.1259915732687053e-05,1.0071727894704706e-05,3.774526678141131e-05,6.039586919105047e-05,0.00011562822719449374,0.00012943201376936425,0.00021177280550774809,9.877796901893499e-05,4.055077452667825e-05,3.492254733218569e-05,1
1.931876058857396e-05,3.539219304959485e-05,0.000128034038234965,4.8300792046851616e-05,2.280448912548011e-05,2.0349670195474585e-05,2.0076906803346827e-05,2.5076141416052027e-05,1.4660000810242116e-10,4.507836563579324e-10,5.136133343959572e-09,6.901665723199321e-10,1.6003006803532509e-10,1.2893385236498123e-10,1.3149158557220432e-10,2.0654254633423101e-10,1.2107849028726001e-05,2.1231666358482848e-05,7.166682177939505e-05,2.6271021531716883e-05,1.2650299128294362e-05,1.1354904330947981e-05,1.1466978048823688e-05,1.4371588163255689e-05,4.0697947214075086e-05,7.14193548387084e-05,0.00024557771260997035,9.304398826979403e-05,4.4005865102637993e-05,4.002932551319555e-05,3.754838709677334e-05,4.958357771260882e-05,1
2.64485420525046e-05,5.020317210507505e-05,0.0001548427443131332,5.9856006403176015e-05,2.34960582265447e-05,2.016478730825784e-05,1.5240695255338073e-05,1.9058853574068424e-05,2.3016767266480637e-10,7.999083285607333e-10,7.495092739028357e-09,1.0467625723521626e-09,1.6828768899552273e-10,1.396211749500747e-10,7.290797788814302e-11,1.3910475917446444e-10,1.5171277885030198e-05,2.8282650663626515e-05,8.657420365806639e-05,3.235371033362576e-05,1.2972574493735726e-05,1.1816140442211861e-05,8.538616860366966e-06,1.1794268064380444e-05,5.178674351585084e-05,9.914265129683e-05,0.0003000432276657088,0.00011144092219020197,4.53458213256489e-05,4.065561959654209e-05,3.01729106628241e-05,3.938040345821343e-05,1
