cAmean1,cAmean2,cAmean3,cAmean4,cAmean5,cAmean6,cAmean7,cAmean8,cAstd1,cAstd2,cAstd3,cAstd4,cAstd5,cAstd6,cAstd7,cAstd8,cAmedian1,cAmedian2,cAmedian3,cAmedian4,cAmedian5,cAmedian6,cAmedian7,cAmedian8,cD2mean1,cD2mean2,cD2mean3,cD2mean4,cD2mean5,cD2mean6,cD2mean7,cD2mean8,cD2std1,cD2std2,cD2std3,cD2std4,cD2std5,cD2std6,cD2std7,cD2std8,cD2median1,cD2median2,cD2median3,cD2median4,cD2median5,cD2median6,cD2median7,cD2median8,cD4mean1,cD4mean2,cD4mean3,cD4mean4,cD4mean5,cD4mean6,cD4mean7,cD4mean8,cD4std1,cD4std2,cD4std3,cD4std4,cD4std5,cD4std6,cD4std7,cD4std8,cD4median1,cD4median2,cD4median3,cD4median4,cD4median5,cD4median6,cD4median7,cD4median8,target
-3.882549909140276e-05,-4.10055285944246e-05,-3.482120719195282e-05,-3.698196804047718e-05,-4.054815695805759e-05,-3.610199150564207e-05,-3.7403440957559835e-05,-3.703328603291616e-05,3.9043801127627275e-05,7.015635125687153e-05,8.069838338906391e-05,5.486069552697576e-05,3.528545418621011e-05,3.4724701120570084e-05,3.44705489333863e-05,3.2026946703298696e-05,-3.9953493097608604e-05,-4.858890929105216e-05,-2.7530282314975233e-05,-3.0779420256471256e-05,-3.567817159351925e-05,-3.7263814530409984e-05,-3.7170636203239475e-05,-4.6840312824964506e-05,5.007469928945006e-07,8.711572037095104e-08,1.4617667920930181e-07,3.877110212391993e-08,-3.197252320285196e-08,-4.1427549964129606e-07,3.163887215753328e-07,4.7520605306954274e-08,5.207964888806025e-06,9.453984787439366e-06,1.1801790867862674e-05,7.516719655192981e-06,5.049682403004435e-06,4.690889836907163e-06,5.0557955652442935e-06,4.989472338409233e-06,3.859557585520268e-08,2.970783251353197e-08,1.5247264913230246e-07,5.863543861935925e-09,1.1272408364693052e-09,-3.3327077811919596e-09,1.822340034226775e-08,-1.0189823495174446e-08,7.557235840782352e-07,-5.058336185633148e-07,-3.3274631485803637e-06,-1.6148783897463835e-06,-2.0276644412107936e-07,2.5081869655733513e-07,1.1149255679405202e-06,-7.605645766219171e-07,2.1463683242805985e-05,3.9340107345294606e-05,4.2913359466463554e-05,3.080023491714203e-05,2.233805528254604e-05,1.834099159625186e-05,1.9861008249240306e-05,2.076099435739808e-05,2.4182310253287934e-07,-1.7038505361892823e-06,-4.366556168335116e-06,3.060714067307597e-06,1.2963023748444712e-06,-1.0906185367148398e-06,1.0162847171321353e-06,1.5076895089199274e-06,1
-4.080327835054762e-05,-3.4726678046592315e-05,-1.3315040962641872e-06,-3.801944764235039e-05,-3.230050741843944e-05,-3.6486936362949494e-05,-3.437684294179524e-05,-3.825011926382133e-05,5.387319319990547e-05,0.00010919631454146995,0.0001700930959126756,6.602311950403114e-05,4.3731976951363095e-05,5.435438133099196e-05,4.075090041355323e-05,4.051749604002948e-05,-4.098922824457939e-05,-2.556559245033448e-05,-8.93900719523405e-06,-4.47209627129981e-05,-3.185179649099089e-05,-3.2891383065528415e-05,-3.271548433894055e-05,-3.7632819575831485e-05,-1.5132968956557364e-07,-5.188639654560716e-07,2.0907566762318837e-07,-1.908296229955924e-07,-1.4085619448184903e-07,1.6387145213630015e-07,5.832313310382802e-08,-7.995292605813781e-08,6.406954022056209e-06,1.2071833536155312e-05,1.814318463071214e-05,8.976247476507235e-06,5.886719551431995e-06,6.584748110744173e-06,4.8605734126304375e-06,4.893451825768089e-06,-2.4070955825293105e-22,9.388803110487642e-08,-3.69109485818732e-07,-1.2138180118674256e-07,-2.079136449561128e-09,-2.6744824599751402e-08,-5.918358925789596e-09,-1.2960740178897151e-08,-4.415499100122605e-07,-4.174696199649082e-06,-1.288006311438176e-06,-2.7186424010818527e-06,9.875315540084222e-07,6.314211423037089e-07,-1.2576970404507756e-06,-2.0755474888249967e-06,2.252168221452601e-05,4.0060875928616206e-05,6.821450851660565e-05,2.8660240350380718e-05,1.822777707533869e-05,2.0842998973063618e-05,1.6096461081960308e-05,1.4690260051476589e-05,-6.343189819938964e-07,-1.925893743089526e-06,4.131577694260633e-06,-9.489791818523743e-07,1.3035885956370384e-06,1.072055351578684e-06,7.619982669387312e-07,-9.051500835871842e-07,1
-3.716982334694077e-05,-4.179272313145962e-05,-4.195978184610602e-05,-5.55758575700412e-05,-4.9972043849374065e-05,-4.183329652426109e-05,-3.192801605708541e-05,-3.473044618445643e-05,5.5163603495381164e-05,7.092458438629734e-05,9.827862146144204e-05,7.893240367059132e-05,5.1729783158211186e-05,3.670076040323572e-05,3.0160738273055553e-05,3.558431445490036e-05,-3.687483589139658e-05,-3.8633710327315286e-05,-3.1402477571799186e-05,-4.340795914690973e-05,-4.3017073910853754e-05,-3.871065852902112e-05,-3.767890007146495e-05,-3.773855208214152e-05,-1.2388536258360418e-07,9.470100494489826e-08,2.080787132524647e-07,-3.4254369556680767e-07,-1.1865343941843858e-07,-8.109730678130748e-08,-2.811894605895909e-08,8.809698623353087e-08,6.302562665880755e-06,9.720926841651067e-06,1.1234573392618603e-05,9.087132268064687e-06,5.936199057937926e-06,4.4418803532632e-06,3.990681483385979e-06,5.012725249163328e-06,-9.23766328870743e-11,-3.311996038273674e-08,1.7881606684928897e-07,-1.6165062743925234e-09,-4.814191165058621e-22,0.0,2.3871043324961993e-11,5.6596428748929e-09,7.900633243786016e-07,-1.2419083129901697e-06,-4.977093723020385e-07,-3.958675560731628e-06,-1.3181713795168082e-06,-6.542326136080431e-07,-1.9929163422260004e-08,4.703289341357056e-07,2.166281234391107e-05,2.8460058199876625e-05,3.289879558142429e-05,2.8357499064624007e-05,1.9965703501320416e-05,1.3308901644301708e-05,1.4231725399225998e-05,1.4748374348445473e-05,-1.2346444097919998e-07,-9.625873429392047e-07,-1.0953030738885564e-06,-8.678093984280527e-07,-4.0469970042900936e-07,-6.503385481399629e-07,-1.0224991810390756e-07,-1.3250172257375063e-07,1
-3.771795561154485e-05,-2.9957838031795537e-05,1.3721547244573034e-05,-1.3373491896228674e-05,-4.00975193926161e-05,-2.8899880212533515e-05,-2.7418842728014282e-05,-1.794527268875379e-05,3.795430976841077e-05,9.263664860084968e-05,0.0001575525525951839,0.00010028976132986848,4.343178427796853e-05,4.0923328842648174e-05,3.046264554816019e-05,4.7711308887237936e-05,-3.744223420658181e-05,-9.508564757665378e-06,7.074876300475513e-06,2.506186021395046e-06,-3.999992196291316e-05,-2.738170081192216e-05,-2.9225772453195265e-05,-1.810494055372372e-05,2.3718318754821108e-07,3.1452285505435185e-07,4.866445634980435e-07,3.139618797124457e-07,-1.5479649947554722e-08,-2.0229422900873183e-07,2.7742418495366025e-07,-2.1386259392019233e-08,4.627927778634458e-06,1.1290896988656026e-05,1.8694268686865685e-05,9.11110496417316e-06,4.595275753880121e-06,3.765693636491218e-06,3.453378494884422e-06,4.374721717479403e-06,-9.628382330117242e-22,4.814191165058621e-22,1.9256764660234484e-21,4.814191165058621e-22,-4.814191165058621e-22,-4.814191165058621e-22,0.0,-4.814191165058621e-22,-6.438600566561813e-07,1.1414496369011044e-06,2.5737024806338006e-06,1.2546489510930828e-06,1.1542694952815217e-06,-1.5585332056397464e-07,2.1930488868373691e-07,6.517996469670576e-07,1.7906102363954577e-05,4.245642457451253e-05,6.368028090953256e-05,3.543740860867809e-05,1.764691722684267e-05,1.470950196550285e-05,1.0798110293015424e-05,1.5059908465666054e-05,-2.772416609811642e-07,-2.2518870290823216e-07,-1.0938575716199834e-06,-7.594843553188097e-08,3.177328371996374e-09,2.2333883063232643e-07,-1.6443566252792267e-08,1.7445421208204934e-08,1
-2.756917051523643e-05,-3.488098361128713e-05,-3.574643101112666e-05,-2.3107841240237648e-05,-2.59405740015453e-05,-3.1382864527718123e-05,-3.375540847511209e-05,-4.011224933143591e-05,4.00206590217224e-05,5.362809441117345e-05,8.761445898212742e-05,7.087572534402332e-05,0.00012078305320846308,5.92776529180285e-05,4.4720735216807444e-05,4.174299624777032e-05,-2.6360701457213192e-05,-3.400167397950445e-05,-3.9320446506110226e-05,-3.132072799886461e-05,-2.846584727110614e-05,-3.9935289041629196e-05,-3.9441343973772335e-05,-4.2127917754015455e-05,-1.1233989147397907e-07,-1.4871095486088014e-07,2.241128820707541e-07,1.2112320921518378e-07,1.4157487879754468e-07,-2.658189606698418e-07,-3.7793821413128914e-07,-2.8754194683130435e-07,5.952877398131347e-06,9.817640457279957e-06,1.4219309550228378e-05,1.0451420565381984e-05,1.67756188594009e-05,8.196994521988485e-06,6.3877877452323614e-06,5.672980097872035e-06,-2.7599902612265085e-10,-2.0068122874813367e-07,9.628382330117242e-22,-9.84118639781472e-11,-2.4410411913160814e-09,-1.5513614977120732e-08,-2.7474156091750236e-07,-7.419052805000746e-08,3.588304679634096e-06,3.1663597651436957e-06,4.330782478196385e-06,-3.4581750588991236e-07,2.449623745318528e-06,1.1804592767910932e-06,-1.7025195038769465e-06,1.1176987973045836e-06,2.1800766723331747e-05,3.828313746668688e-05,5.2491424528808865e-05,4.403018990665686e-05,5.891565305668517e-05,2.9990652363524985e-05,2.453597467817256e-05,2.0772088029115414e-05,2.910718876578728e-06,4.4309069995768713e-07,3.017240490146535e-07,-1.4838168131369414e-07,-1.0985870834674957e-06,-2.8151135749406125e-08,-2.121813474555826e-06,-8.520693027326296e-07,1
-2.4407606352482058e-05,-3.597881029532867e-05,-5.523725082824475e-05,-5.065463994977107e-05,-4.9852466578748954e-05,-3.584509862864348e-05,-3.2917655344570145e-05,-3.099494785310336e-05,5.4232698285193426e-05,6.837164385861634e-05,9.863896598761885e-05,8.875405805732263e-05,0.0002721098311197332,0.0001508699278316929,5.126151060674572e-05,4.477789226619582e-05,-2.8347407790751743e-05,-3.650210521944789e-05,-4.898133834016164e-05,-5.895266257057623e-05,-4.660268157949824e-05,-3.931725809055412e-05,-3.537338358235882e-05,-2.9975183102203044e-05,3.1298234015660685e-09,-1.3731783472014335e-07,6.538218783165518e-08,1.6744087042369914e-07,-7.854165527647942e-07,-3.347667836956325e-07,-4.5276745049095804e-07,9.546560451410831e-08,6.700164690940401e-06,9.764206993716098e-06,1.3470813106866478e-05,1.3855371899484008e-05,3.9472893848494235e-05,2.0123095230057208e-05,7.634585619998277e-06,5.431082402180665e-06,-2.2315491052668343e-12,-2.4919096506365445e-07,1.2926390818952094e-07,-1.4134900228378415e-09,-2.0320688843958946e-09,-6.5662572094702584e-09,-2.7822631514540926e-08,8.422210146649236e-09,8.57109433526168e-07,1.4614093869835305e-06,-2.3931826048877564e-06,2.937955842151806e-07,-3.342314469848885e-06,-3.0037661903767005e-07,2.656337482926127e-07,1.8236850343575512e-06,2.5946494385995774e-05,3.364865395415699e-05,4.039523691186517e-05,4.4224660002195144e-05,0.00013585106083856215,7.048422354841976e-05,2.2121073148894443e-05,2.317096149163818e-05,1.2831765539750705e-07,-1.226835461051619e-07,-6.129498183960654e-06,3.6781520689806e-08,3.232161910474651e-07,-2.9830550626371675e-07,2.1867866573012742e-07,8.167618505988732e-07,1
-3.4508978371095994e-05,-4.252842955507679e-05,-2.500529258832553e-05,-2.38997581925021e-05,-3.00935025809216e-05,-3.793533540520314e-05,-3.269220798558994e-05,-3.7598375739526625e-05,4.1943325189982724e-05,6.317697820864921e-05,0.00015853985685048417,0.00013150504821570478,5.934682254255777e-05,8.259413158357124e-05,3.903087334465128e-05,3.461739647637526e-05,-3.515709713486785e-05,-4.699712941632748e-05,-5.618186491364011e-06,-2.291707969343707e-05,-2.9550135262682216e-05,-3.527288060672302e-05,-3.0758148266124414e-05,-3.941047122594826e-05,-4.2901488757702377e-07,-2.512726786777689e-07,9.633159897162784e-07,-9.450340415469718e-08,-8.95870973550556e-07,1.0300133048030777e-06,9.67465766954517e-08,-2.109170514222451e-07,5.744306084943052e-06,9.583269099496372e-06,2.600131468663337e-05,1.9429855408405974e-05,1.0217583831398027e-05,1.8750418978392265e-05,6.0987559669284325e-06,5.401288929550474e-06,-2.1155680338540757e-08,1.5132004631332018e-08,6.198325648146197e-07,1.8675578685481586e-07,-8.960059963178931e-08,1.590884390463495e-09,8.330381306331687e-10,-4.814191165058621e-22,1.5469614192450916e-06,4.2168839403230177e-07,-2.914862498751129e-06,2.3654479003735758e-06,7.047653314164913e-07,-6.611523439549498e-07,-1.1422098938660093e-06,6.624134660558938e-07,2.126217572116306e-05,3.1802084764592235e-05,8.204033330591723e-05,6.845624584469693e-05,3.44579131584947e-05,8.014662145010652e-05,2.5226223842167673e-05,1.625662811083334e-05,1.7644013659296273e-06,2.03980943970221e-06,-4.380421572039334e-06,-3.295335972496002e-06,1.7616839795148463e-06,-1.2364520634882567e-06,-2.0384556878734175e-06,4.237168920331043e-07,1
-3.397689261264098e-05,-3.5532917683478915e-05,-2.9239883691216372e-05,-2.584931173769092e-05,-4.1673487431519605e-05,-2.9247105828154104e-05,-3.0726583640863995e-05,-3.593676574934361e-05,4.1915399022798196e-05,7.186217583713001e-05,0.00015771492839563529,0.0001861017716089206,0.0003043651678831762,0.00013737669084805021,4.687783112478445e-05,3.732132527745718e-05,-3.759918116192141e-05,-4.0248704350579595e-05,-5.083341335245247e-05,-2.9430431629260014e-05,-4.346385751707841e-05,-2.472722767250972e-05,-2.8778180182004287e-05,-3.443319054243231e-05,2.3550685366480685e-07,1.7283264602556285e-07,2.372305461366472e-07,7.322562424999729e-07,-2.4581712653475837e-06,-4.106555842566259e-07,-9.775167491773375e-09,-2.6211730182690466e-07,8.276039105767546e-06,1.2681889115000282e-05,2.535916972162239e-05,2.8743188693404264e-05,3.985242376843665e-05,1.875094685150628e-05,7.1956152707660895e-06,6.286890315867575e-06,2.74616677371071e-09,1.6974485788396436e-08,8.143131714209814e-07,5.127057900114143e-07,1.7111737139124804e-08,4.305786562290148e-07,1.1363488379273206e-07,5.507469177241287e-10,-6.319300631613088e-07,-7.814510462365286e-07,2.207851660459601e-06,2.2272445499654598e-06,-1.8652007821643083e-05,-5.908521809480541e-06,-2.666843580247683e-06,-1.1515774825580325e-07,2.6008145655579427e-05,4.8394694957586986e-05,0.00010321134247864309,9.977574244156061e-05,0.0001457761323187117,5.232891080020609e-05,2.4983889361899702e-05,2.2389826183532004e-05,-3.755026412820483e-07,-1.6919713938448086e-06,-6.917694500337748e-06,-1.5054321583148436e-06,-2.1757754580669266e-05,-5.803867658958874e-09,-1.4427306902688005e-06,2.7839101375144143e-07,1
-2.9456895537326692e-05,-5.298947726305e-05,-4.7181133225014524e-05,-5.940840281166744e-05,-4.719868174902698e-05,-3.344576132829495e-05,-3.887588231265248e-05,-3.7096941187662466e-05,5.100370364039671e-05,9.692601816314479e-05,0.0003149054774401212,0.000128647241077835,5.097434710637634e-05,4.6880273818482535e-05,4.194206267376918e-05,5.752061487051672e-05,-3.288498168514369e-05,-4.110288068003517e-05,-7.901321462803398e-05,-7.265062319799293e-05,-5.1131090454548645e-05,-3.6142725411598555e-05,-3.989127973017718e-05,-3.8026694834385576e-05,-1.733111332572537e-07,-1.7413047284423557e-07,-8.968402753382337e-07,7.278254946288587e-07,5.442618570525306e-07,1.4384909545820603e-08,-3.7056957878799646e-07,-4.006603860369464e-08,6.17175384868964e-06,1.3659057418212567e-05,4.918179053460571e-05,1.7145976952925675e-05,5.9948147527066075e-06,5.852356220654408e-06,5.410061678904017e-06,7.279718261802794e-06,-1.6890817799511868e-08,1.0116632092278888e-07,-2.1527793678568387e-08,2.1917736009270155e-07,1.0453693445680111e-07,-5.162032988390172e-08,-7.585821730510009e-08,2.1365576156972518e-08,-4.618301101277922e-08,-2.3263372431875354e-06,-5.2395926604365445e-06,-6.901177609546443e-07,-1.0940619412469249e-06,-1.43329720983389e-06,-1.5539180241776948e-06,-1.3356966083595726e-06,2.0500407344004722e-05,4.885642368360532e-05,0.00016614752627292035,5.805254801712676e-05,2.216331765792463e-05,2.558975256621672e-05,2.0071216008302064e-05,2.6612811696443293e-05,6.102212141262475e-07,-2.5995096031939803e-06,-9.561808879883137e-06,1.888024836789886e-06,-1.0868744934386443e-06,-2.487986810702824e-07,3.5561633061606946e-08,-1.6607816864208556e-07,1
-3.239232792844212e-05,-2.4801866454343114e-05,-2.6544325671103568e-05,-4.9249864833433344e-05,-4.429148918665954e-05,-3.996301016457772e-05,-3.0016642084529017e-05,-3.4862762884737376e-05,6.431206220993793e-05,0.00011630905371903475,0.00037034651836517443,0.00014015271252302536,4.9873146361953016e-05,4.173957730603645e-05,3.920122610891188e-05,4.904980994690906e-05,-3.067251716905768e-05,-3.7624801805936596e-06,2.7300933846271863e-05,-3.9473014117184445e-05,-4.847116583223754e-05,-4.5946576388345917e-05,-2.62607897966286e-05,-3.4581195361582664e-05,5.099159586304616e-07,1.5864624365615954e-06,2.568885622190868e-06,6.468303144755702e-07,5.075039119116157e-07,-3.8990674342907204e-08,9.12426455154819e-08,1.0757799618722238e-07,9.994474068186384e-06,1.84188562436812e-05,5.841177983701545e-05,2.376531112002182e-05,7.911702273533117e-06,6.546266269747446e-06,6.138229550338908e-06,7.933067734246987e-06,1.883927305635987e-07,8.316745242142304e-07,1.6868247028742584e-06,2.673631318638106e-07,2.5383680235980736e-07,2.354193042567221e-08,1.3459891278527612e-09,-1.9739255955063115e-07,4.051188184097234e-06,4.089335061338744e-06,9.606464596771964e-06,3.8119866312082566e-06,3.133765470136728e-06,2.0214370635568193e-06,-2.7068470665986493e-07,1.17190901268041e-06,3.847250371920894e-05,7.995464004891445e-05,0.00023214643888332258,9.904554663278732e-05,2.669665487729197e-05,2.560860915669552e-05,1.698944010984082e-05,2.6429969103043318e-05,-8.093901056950696e-07,6.165444332632302e-06,4.012543510875315e-06,2.8558006396940835e-06,5.623949568424718e-06,2.754413811558573e-06,-1.5681259180083438e-06,-1.309162714812803e-07,1
