mean1,mean2,mean3,mean4,mean5,mean6,mean7,mean8,std1,std2,std3,std4,std5,std6,std7,std8,RMS1,RMS2,RMS3,RMS4,RMS5,RMS6,RMS7,RMS8,mav11,mav12,mav13,mav14,mav15,mav16,mav17,mav18,target
3.0979118989671905e-05,4.587554615160468e-05,4.961149066721932e-05,3.715529631747582e-05,3.220131218964921e-05,2.8201614850929878e-05,2.6984198276882785e-05,2.8169839904524342e-05,2.3914711166011505e-05,3.623912424875462e-05,3.886563865987133e-05,2.982676856691314e-05,2.268362515659225e-05,2.1749748417810034e-05,1.9318276399112606e-05,1.9263716535024513e-05,0.005565888876870604,0.006773148909599189,0.007043542479975493,0.006095514442397444,0.005674620003986982,0.005310519263775425,0.0051946316786546844,0.005307526721979301,3.0979118989671905e-05,4.587554615160468e-05,4.961149066721932e-05,3.715529631747582e-05,3.220131218964921e-05,2.8201614850929878e-05,2.6984198276882785e-05,2.8169839904524342e-05,1
3.544688413367743e-05,6.162772315555615e-05,8.08058901107734e-05,3.9812111041047055e-05,3.148940109194736e-05,3.443304874130653e-05,3.0142004911427453e-05,3.0389807957512912e-05,2.8470157072567227e-05,4.908909582712314e-05,6.562930373316501e-05,3.3116440192760016e-05,2.3615677244619573e-05,3.0993537874656266e-05,2.3267600600072594e-05,2.1526936032091938e-05,0.005953728590864503,0.007850332678017928,0.008989209648838623,0.0063096839097570535,0.005611541774944508,0.005867968024904919,0.0054901734864599185,0.005512695162759583,3.544688413367743e-05,6.162772315555615e-05,8.08058901107734e-05,3.9812111041047055e-05,3.148940109194736e-05,3.443304874130653e-05,3.0142004911427453e-05,3.0389807957512912e-05,1
3.2554261607726456e-05,3.92091978033583e-05,4.715011200780789e-05,4.02022082869278e-05,3.336071471818575e-05,2.968979087400074e-05,2.501317788982126e-05,2.6286477242214035e-05,2.5855259920746665e-05,3.1324837291182466e-05,3.889599205155483e-05,3.413073337160089e-05,2.588157903264929e-05,2.268598555650217e-05,1.8443818924950092e-05,1.931535884254448e-05,0.005705634198555534,0.006261724826544065,0.0068665939160407535,0.006340521136856796,0.005775873502612895,0.005448833900386462,0.0050013176153710995,0.005127033961484362,3.2554261607726456e-05,3.92091978033583e-05,4.715011200780789e-05,4.02022082869278e-05,3.336071471818575e-05,2.968979087400074e-05,2.501317788982126e-05,2.6286477242214035e-05,1
3.137950428794355e-05,5.6926799720849855e-05,8.364239658059289e-05,5.52681508084518e-05,3.4624603709957614e-05,3.0099350032554392e-05,2.336384070634635e-05,2.6981144773005715e-05,2.452177926368528e-05,4.3733417584316216e-05,7.246187241421664e-05,4.3923285780760716e-05,2.507457016551632e-05,2.072547050620731e-05,1.863773292176555e-05,1.999972704650441e-05,0.005601741183591361,0.007544985070949435,0.009145621716460444,0.007434255228901668,0.005884267474372457,0.0054862874544225615,0.004833615697006367,0.0051943377607742945,3.137950428794355e-05,5.6926799720849855e-05,8.364239658059289e-05,5.52681508084518e-05,3.4624603709957614e-05,3.0099350032554392e-05,2.336384070634635e-05,2.6981144773005715e-05,1
2.8638152812613267e-05,3.774116809671577e-05,5.178047569224198e-05,4.1397579631548756e-05,6.601285931945047e-05,3.8308910082229094e-05,3.160430386024214e-05,3.177495463045426e-05,2.1059741273150653e-05,2.8988910185219668e-05,4.193694534951839e-05,3.13153204634133e-05,6.0733463306730724e-05,2.9747336109782647e-05,2.4025439449043365e-05,2.1789202709041827e-05,0.005351462679736566,0.006143384091583056,0.0071958651802435806,0.006434095090340891,0.008124829802491278,0.006189419203950327,0.00562177052717755,0.00563692776523296,2.8638152812613267e-05,3.774116809671577e-05,5.178047569224198e-05,4.1397579631548756e-05,6.601285931945047e-05,3.8308910082229094e-05,3.160430386024214e-05,3.177495463045426e-05,1
3.119268982682982e-05,4.1105443015588746e-05,5.742016422451536e-05,5.516626135948322e-05,0.00014301787076670711,7.524455841127519e-05,3.367330880357988e-05,3.0661475857463415e-05,2.6056644402653894e-05,3.6352956812571516e-05,4.8712765426603966e-05,4.143566845836738e-05,0.00013632905486691798,7.913091710177886e-05,2.6778517204450495e-05,2.3382041917343258e-05,0.005585041613706188,0.006411352666605445,0.007577609400366012,0.00742739936717309,0.011959007934051516,0.008674362132818482,0.005802870738141587,0.005537280547115471,3.119268982682982e-05,4.1105443015588746e-05,5.742016422451536e-05,5.516626135948322e-05,0.00014301787076670711,7.524455841127519e-05,3.367330880357988e-05,3.0661475857463415e-05,1
3.0213923380631987e-05,4.156221862434868e-05,8.920978283570223e-05,7.728792407518068e-05,3.710533226847312e-05,4.635680611281537e-05,3.058236828631818e-05,2.867913658315167e-05,2.316721738148076e-05,3.3803209923740054e-05,7.293437525381013e-05,5.53345637421306e-05,3.1402769959422265e-05,5.821422860490814e-05,2.1501835525924218e-05,2.008550663476536e-05,0.005496719328893553,0.006446876656517378,0.009445093055957799,0.008791355076163212,0.006091414636065511,0.00680858326767143,0.005530132754854822,0.0053552905227589355,3.0213923380631987e-05,4.156221862434868e-05,8.920978283570223e-05,7.728792407518068e-05,3.710533226847312e-05,4.635680611281537e-05,3.058236828631818e-05,2.867913658315167e-05,1
3.0416640134477575e-05,4.6577394868279084e-05,8.514786007331396e-05,9.597568376349339e-05,0.0001592504410329728,7.737420533894854e-05,3.2676067271237704e-05,2.95942769567837e-05,2.3686255065115354e-05,3.707379306655513e-05,7.760829733127877e-05,9.235736089887235e-05,0.00014481314711758787,6.174061057169378e-05,2.4779779795912444e-05,2.2590309019675048e-05,0.005515128297191061,0.006824763356210901,0.00922755981141894,0.009796718009797638,0.012619446938474475,0.008796260872606527,0.0057162983889259755,0.0054400622199367995,3.0416640134477575e-05,4.6577394868279084e-05,8.514786007331396e-05,9.597568376349339e-05,0.0001592504410329728,7.737420533894854e-05,3.2676067271237704e-05,2.95942769567837e-05,1
3.465252893392929e-05,5.3133519644042525e-05,0.00018176951162415572,7.22395714700484e-05,3.69404981412842e-05,3.198374303199004e-05,3.1919293195163125e-05,4.097219348945576e-05,2.4247236076181122e-05,3.999592781777747e-05,0.00013566828015439814,5.1727982685124925e-05,2.521922352560093e-05,2.5749689647148257e-05,2.436270060652389e-05,2.662793307511526e-05,0.005886639867864288,0.007289274287886451,0.013482192389376282,0.00849938653492406,0.006077869539672943,0.005655417140405298,0.005649716204833932,0.006400952545477568,3.465252893392929e-05,5.3133519644042525e-05,0.00018176951162415572,7.22395714700484e-05,3.69404981412842e-05,3.198374303199004e-05,3.1919293195163125e-05,4.097219348945576e-05,1
4.0178091053703836e-05,6.889582930437002e-05,0.00020499850460808293,7.827328056268383e-05,3.720597008821403e-05,3.370716003410962e-05,2.5923272841884305e-05,3.2587867251034656e-05,3.506995088496932e-05,5.649213388951061e-05,0.00017827073660988196,7.916861087632408e-05,2.7133436727990695e-05,2.3286477054931766e-05,2.4031092522122092e-05,2.7578638248320757e-05,0.006338619017870047,0.008300351155485533,0.014317768841830173,0.008847218803820996,0.006099669670417737,0.005805786771326486,0.005091490237826672,0.005708578391424143,4.0178091053703836e-05,6.889582930437002e-05,0.00020499850460808293,7.827328056268383e-05,3.720597008821403e-05,3.370716003410962e-05,2.5923272841884305e-05,3.2587867251034656e-05,1
